SOrg,Plnt,Material,Material_number,X_Plant_Material_Status,MS,Gross_weight,WUn,Spart,ValidFrom,Minorder_qty,BUn,Orig,Web,FM_rel,Av,PGr,GRT,Typ,MRPCn,Minlot_size,BUn1,SPT,PDT,TABCD,XYZ,Pl,Safety_Stock,Rounding_val,BUn2,Rprofile,LS,Min_dely_qty,BUn3,key_material
8750,8750,435000,"Hammer drill bit TE-CX 1/4""-6""",14,80,50.0,G,nan,2020-01-16,1.0,PC,DE,X,nan,ZC,L09,20.0,ND,L09,1.0,PC,4C,680.0,D,Z,X,0.0,1,PC,Z004,PK,1.0,PC,8750/435000
8750,8750,2197626,Fastener guide X-FG B3-BT M,14,33,320.0,G,X,2023-12-12,1.0,PC,AT,nan,nan,ZC,U26,20.0,X6,U26,1.0,PC,4C,680.0,D,Z,nan,0.0,1,PC,Z004,PK,1.0,PC,8750/2197626
8750,8750,2330922,"Pipe shoe MP-PS L1-1 21-26 1/2"" OC",14,40,1575.0,G,nan,2023-09-01,8.0,PC,CZ,X,nan,ZC,L06,20.0,X6,L06,8.0,PC,U0,660.0,D,N,nan,0.0,8,PC,Z004,PK,8.0,PC,8750/2330922
8750,8750,2330924,"Pipe shoe MP-PS L1-1 32-37 1"" OC",14,40,1625.0,G,nan,2023-09-01,8.0,PC,CZ,X,nan,ZC,L06,20.0,X6,L06,8.0,PC,U0,660.0,D,N,nan,0.0,8,PC,Z004,PK,8.0,PC,8750/2330924
8750,8750,2273699,Girder end cap MT-EC-90,14,33,31.0,G,nan,2023-09-01,25.0,PC,CN,X,nan,ZC,L14,20.0,Y1,L14,50.0,PC,4C,680.0,D,Y,nan,0.0,25,PC,Z004,PK,25.0,PC,8750/2273699
8750,8750,2084260,Powder-actuated tool DX 2,14,40,4100.0,G,nan,2017-11-09,1.0,PC,TW,X,nan,ZC,L04,20.0,X5,L04,1.0,PC,U4,670.0,B,Y,nan,4.0,1,PC,Z004,PK,1.0,PC,8750/2084260
8750,8750,2330979,"Pipe shoe MP-PS L2-2 59-65 2"" OC",14,40,3950.0,G,nan,2023-09-01,4.0,PC,CZ,X,nan,ZC,L06,20.0,X6,L06,4.0,PC,U0,660.0,D,N,nan,0.0,4,PC,Z004,PK,4.0,PC,8750/2330979
8750,8750,271985,Threaded stud X-EW10H-30-14P10,14,40,14.27,G,nan,2012-09-06,100.0,PC,LI,X,nan,ZC,L04,20.0,X6,L04,1500.0,PC,4C,680.0,D,N,nan,0.0,1.500,PC,Z004,PK,100.0,PC,8750/271985
